campo,smsrio,vitai,CADSus,obs
active,,,,
birth_city_cod,1,2,,Campo presente apenas na SMSRio
birth_state_cod,1,2,,Campo presente apenas na SMSRio
birth_country_cod,1,2,,Campo presente apenas na SMSRio
birth_date,1,1,,Mesmo campo
patient_cpf,1,1,,Mesmo campo
patient_code,1,1,,Mesmo campo
deceased,1,2,,Outra base de óbitos?
deceased_date,1,1,,Outra base de óbitos?
father_name,1,2,,
gender,1,2,,
mother_name,1,2,,
name,1,2,,Double check no CADSUS
nationality,1,2,,
protected_person,,,,
race,1,2,,
cns_list,2,1,,
address_list,2,1,,Atualizado mais frequentemente na Vitai
telecom_list,1,2,,Mais confiável na SMSRio pelo interesse do paciente no contato
